HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
KS99894	50	00035	00030	GRE	UH1		37.683308		126.798228							37.683308		126.798228	150.0	U							37.683308		126.798228										200501
KS99896	50	00063	00063	GRE	CH47		37.714167		127.042639							37.714167		127.042639	220.0	U							37.714167		127.042639										199805
KS99898	50	00050		CON	CH47		38.089444		127.258611	55						38.089444		127.258611	U	U							38.089444		127.258611										200411
KS99899	50	00100	00100	CON	CH47		37.850000		127.016700							37.850000		127.016700	600.0	U							37.850000		127.016700										200205
KS99900	50	00100	00100	CON	CH47		37.466670		127.016700	55						37.466670		127.016700	940.0	U							37.466670		127.016700										200208
KS99902	50	00060	00060	ASP	UH60		37.932778		127.312222							37.932778		127.312222	540.0	U							37.932778		127.312222										200411
KS99903	50	00064	00046	ASP	CH47		37.883833		127.172611							37.883833		127.172611	480.0	U							37.883833		127.172611										200411
KS99904	50	00028	00028	GRS	UH1		37.735000		127.013889							37.735000		127.013889	240.0	U							37.735000		127.013889										200411
KS99905	50	00120	00080	GRS	UH60		37.789456		127.002161							37.789456		127.002161	280.0	U							37.789456		127.002161										200211
KS99906	50	00046	00046	CON	CH47		38.020930		127.130000							38.020930		127.130000	240.0	U							38.020930		127.130000										200205
KS99907	50	00040	00030	GRE	CH47		38.074139		127.302389							38.074139		127.302389	440.0	U							38.074139		127.302389										200411
KS99908	50	00028	00028	CON	CH47		37.827778		127.346667							37.827778		127.346667	470.0	U							37.827778		127.346667										200411
KS99909	50	00030	00030	CON	CH47		38.071111		127.351389							38.071111		127.351389	1700.0	U							38.071111		127.351389										200411
KS99910	50	00070	00050	CON	UH1		37.533330		127.000000							37.533330		127.000000	84.0	U							37.533330		127.000000										200208
KS99911	50	00190	00065	CON	UH1		37.483330		127.150000	55						37.483330		127.150000	180.0	U							37.483330		127.150000										200211
KS99912	1	01605	00098	CON		N37362227	37.606186	E127132141	127.222614							37.606186		127.222614			07			13	129.0		37.606186		127.222614	U	U	07			302.0	122.0			200413
KS99913	50	00060	00020	GRE	UH1		38.000000		127.466700							38.000000		127.466700	4422.0	U							38.000000		127.466700										200205
KS99914	50	00040	00040	CON	CH47		38.168881		127.432000							38.168881		127.432000	1200.0	U							38.168881		127.432000										200411
KS99915	50	00060	00055	PSP	UH1		38.066670		127.750000							38.066670		127.750000	2100.0	U							38.066670		127.750000										200205
KS99916	53	00025	00025	CON	UH1		37.930597		127.750031							37.930597		127.750031	U	U							37.930597		127.750031										200208
KS99917	50	00034	00034	GRE	UH1		37.841111		127.792778							37.841111		127.792778	950.0	U							37.841111		127.792778										200409
KS99918	50	00040	00030	CON	UH1		37.833331		127.666700							37.833331		127.666700	320.0	U							37.833331		127.666700										200211
KS99919	50	00064	00046	CON	CH47		37.466669		127.533300	55						37.466669		127.533300	205.0	U							37.466669		127.533300										200409
KS99920	50	00028	00028	CON	UH1		37.744167		127.426667							37.744167		127.426667	90.0	U							37.744167		127.426667										200409
KS99921	50	00028	00020	CON	UH1		37.966350		127.671500							37.966350		127.671500	350.0	U							37.966350		127.671500										200409
KS99922	50	00030	00010	CON	UH60		37.425940		127.969400							37.425940		127.969400	630.0	U							37.425940		127.969400										200209
KS99922	51	00030	00010	CON	UH60		37.425940		127.969400							37.425940		127.969400	630.0	U							37.425940		127.969400										200205
KS99922	52	00030	00010	CON	UH60		37.425940		127.969400							37.425940		127.969400	630.0	U							37.425940		127.969400										200205
KS99923	50	00045	00045	CON	UH1		38.300000		128.116700							38.300000		128.116700	1700.0	U							38.300000		128.116700										200502
