MTR_IDENT	SEG_NBR	PT_IDENT	PT_USAGE	PT_LAT	PT_DLAT	PT_LONG	PT_DLONG	PT_WIDTH_L	PT_WIDTH_R	PT_TRN_RAD	PT_TRN_DIR	PT_BI_SEC	NX_POINT	NX_USAGE	NX_LAT	NX_DLAT	NX_LONG	NX_DLONG	NX_WIDTH_L	NX_WIDTH_R	NX_TRN_RAD	NX_TRN_DIR	NX_BI_SEC	CYCLE_DATE
IR762	40	E	T	N39290000	39.483333	W079380000	-79.633333	5.0	5.0			1708	F	T	N39200000	39.333333	W078320000	-78.533333	5.0	5.0			2503	200204
IR762	50	F	T	N39200000	39.333333	W078320000	-78.533333	5.0	5.0			2503	G	T	N38550000	38.916667	W078590000	-78.983333	5.0	5.0			3052	200204
IR762	60	G	T	N38550000	38.916667	W078590000	-78.983333	5.0	5.0			3052	H	T	N38050000	38.083333	W079360000	-79.600000	5.0	5.0			2979	200204
IR762	70	H	T	N38050000	38.083333	W079360000	-79.600000	5.0	5.0			2979	I	X	N37470000	37.783333	W079470000	-79.783333	5.0	5.0			2958	200204
IR800	0	A	S	N44220000	44.366667	W067520000	-67.866667	4.0	4.0			0837	B	T	N44480000	44.800000	W067560000	-67.933333	4.0	4.0	7.5	R	1067	200204
IR800	260	AA	T	N45030000	45.050000	W070580000	-70.966667	4.0	4.0	7.5	R	3240	AB	T	N45010000	45.016667	W071030000	-71.050000	4.0	4.0			3387	200204
IR800	520	AA	T	N45030000	45.050000	W070580000	-70.966667	4.0	4.0	7.5	R	3240	AB	T	N45010000	45.016667	W071030000	-71.050000	4.0	4.0			3387	200204
IR800	270	AB	T	N45010000	45.016667	W071030000	-71.050000	4.0	4.0			3387	AC	T	N44590000	44.983333	W071150000	-71.250000	4.0	4.0	7.5	L	3408	200204
IR800	530	AB	T	N45010000	45.016667	W071030000	-71.050000	4.0	4.0			3387	AC	T	N44590000	44.983333	W071150000	-71.250000	4.0	4.0	7.5	L	3408	200204
IR800	280	AC	T	N44590000	44.983333	W071150000	-71.250000	4.0	4.0	7.5	L	3408	AD	T	N44570000	44.950000	W071210000	-71.350000	4.0	4.0			3284	200204
IR800	540	AC	T	N44590000	44.983333	W071150000	-71.250000	4.0	4.0	7.5	L	3408	AD	T	N44570000	44.950000	W071210000	-71.350000	4.0	4.0			3284	200204
IR800	290	AD	T	N44570000	44.950000	W071210000	-71.350000	4.0	4.0			3284	AE	T	N44520000	44.866667	W071300000	-71.500000	4.0	4.0			3219	200204
IR800	550	AD	T	N44570000	44.950000	W071210000	-71.350000	4.0	4.0			3284	AE	T	N44520000	44.866667	W071300000	-71.500000	4.0	4.0			3219	200204
IR800	300	AE	T	N44520000	44.866667	W071300000	-71.500000	4.0	4.0			3219	AF	T	N44433600	44.726667	W071450000	-71.750000	4.0	4.0			3253	200204
IR800	560	AE	T	N44520000	44.866667	W071300000	-71.500000	4.0	4.0			3219	AF	T	N44433600	44.726667	W071450000	-71.750000	4.0	4.0			3253	200204
IR800	310	AF	T	N44433600	44.726667	W071450000	-71.750000	4.0	4.0			3253	AG	X	N44380000	44.633333	W071580000	-71.966667	4.0	4.0			3288	200205
IR800	570	AF	T	N44433600	44.726667	W071450000	-71.750000	4.0	4.0			3253	AG	X	N44380000	44.633333	W071580000	-71.966667	4.0	4.0			3288	200205
IR800	630	AX	A	N44000000	44.000000	W068000000	-68.000000	4.0	4.0			1120	AY	T	N44160000	44.266667	W067510000	-67.850000	4.0	4.0			1056	200204
IR800	640	AY	T	N44160000	44.266667	W067510000	-67.850000	4.0	4.0			1056	AZ	T	N44250000	44.416667	W067490000	-67.816667	4.0	4.0			0971	200204
IR800	650	AZ	T	N44250000	44.416667	W067490000	-67.816667	4.0	4.0			0971	I1	T	N44330000	44.550000	W067480000	-67.800000	4.0	4.0			0889	200204
IR800	10	B	T	N44480000	44.800000	W067560000	-67.933333	4.0	4.0	7.5	R	1067	C	T	N44540000	44.900000	W067490000	-67.816667	4.0	4.0			1462	200204
IR800	350	BF	T	N46560000	46.933333	W069120000	-69.200000	4.0	4.0			2856	BG	T	N46310000	46.516667	W068530000	-68.883333	4.0	4.0			2467	200204
IR800	360	BG	T	N46310000	46.516667	W068530000	-68.883333	4.0	4.0			2467	BH	T	N46030000	46.050000	W068390000	-68.650000	4.0	4.0			2509	200204
IR800	370	BH	T	N46030000	46.050000	W068390000	-68.650000	4.0	4.0			2509	BI	T	N45570000	45.950000	W068360000	-68.600000	4.0	4.0	7.5	L	2273	200204
IR800	380	BI	T	N45570000	45.950000	W068360000	-68.600000	4.0	4.0	7.5	L	2273	BJ	T	N45530000	45.883333	W068230000	-68.383333	4.0	4.0			1752	200204
IR800	390	BJ	T	N45530000	45.883333	W068230000	-68.383333	4.0	4.0			1752	BK	T	N45560000	45.933333	W068163000	-68.275000	4.0	4.0	7.5	L	1284	200204
IR800	400	BK	T	N45560000	45.933333	W068163000	-68.275000	4.0	4.0	7.5	L	1284	P1	T	N46043000	46.075000	W068120000	-68.200000	8.0	3.0			0896	200204
IR800	610	BQ	T	N46400000	46.666667	W069313000	-69.525000	4.0	4.0			2367	BR	B	N46340000	46.566667	W069140000	-69.233333	4.0	4.0			2066	200205
IR800	20	C	T	N44540000	44.900000	W067490000	-67.816667	4.0	4.0			1462	D	T	N44560000	44.933333	W067400000	-67.666667	4.0	4.0			1713	200204
IR800	30	D	T	N44560000	44.933333	W067400000	-67.666667	4.0	4.0			1713	E	T	N44560000	44.933333	W067320000	-67.533333	4.0	4.0			1993	200204
IR800	40	E	T	N44560000	44.933333	W067320000	-67.533333	4.0	4.0			1993	F	T	N44440000	44.733333	W067110000	-67.183333	4.0	4.0	7.5	R	2463	200204
IR800	50	F	T	N44440000	44.733333	W067110000	-67.183333	4.0	4.0	7.5	R	2463	G	T	N44330000	44.550000	W067120000	-67.200000	4.0	4.0			3069	200204
IR800	60	G	T	N44330000	44.550000	W067120000	-67.200000	4.0	4.0			3069	H	T	N44270000	44.450000	W067350000	-67.583333	4.0	4.0	7.5	R	0064	200204
IR800	70	H	T	N44270000	44.450000	W067350000	-67.583333	4.0	4.0	7.5	R	0064	I	T	N44330000	44.550000	W067480000	-67.800000	4.0	4.0			0577	200204
IR800	80	I	T	N44330000	44.550000	W067480000	-67.800000	4.0	4.0			0577	J	T	N44440000	44.733333	W067500000	-67.833333	4.0	4.0			0823	200204
IR800	660	I1	T	N44330000	44.550000	W067480000	-67.800000	4.0	4.0			0889	J1	T	N44440000	44.733333	W067500000	-67.833333	4.0	4.0			0823	200204
IR800	90	J	T	N44440000	44.733333	W067500000	-67.833333	4.0	4.0			0823	K	T	N45040000	45.066667	W067540000	-67.900000	4.0	4.0			0819	200204
IR800	670	J1	T	N44440000	44.733333	W067500000	-67.833333	4.0	4.0			0823	K	T	N45040000	45.066667	W067540000	-67.900000	4.0	4.0			0819	200204
IR800	100	K	T	N45040000	45.066667	W067540000	-67.900000	4.0	4.0			0819	L	T	N45090000	45.150000	W067550000	-67.916667	4.0	4.0			0848	200204
IR800	110	L	T	N45090000	45.150000	W067550000	-67.916667	4.0	4.0			0848	M	T	N45533000	45.891667	W067573000	-67.958333	2.0	2.0	7.5	L	0759	200204
IR800	120	M	T	N45533000	45.891667	W067573000	-67.958333	2.0	2.0	7.5	L	0759	N	T	N45583000	45.975000	W068010000	-68.016667	2.0	2.0			0506	200204
IR800	130	N	T	N45583000	45.975000	W068010000	-68.016667	2.0	2.0			0506	O	T	N46030000	46.050000	W068093000	-68.158333	2.0	2.0	7.5	R	0415	200204
IR800	140	O	T	N46030000	46.050000	W068093000	-68.158333	2.0	2.0	7.5	R	0415	P	T	N46053000	46.091667	W068130000	-68.216667	8.0	3.0			0575	200204
IR800	150	P	T	N46053000	46.091667	W068130000	-68.216667	8.0	3.0			0575	Q	T	N46453000	46.758333	W068350000	-68.583333	4.0	4.0	7.5	L	0592	200204
IR800	410	P1	T	N46043000	46.075000	W068120000	-68.200000	8.0	3.0			0896	Q	T	N46453000	46.758333	W068350000	-68.583333	4.0	4.0	7.5	L	0590	200204
IR800	160	Q	T	N46453000	46.758333	W068350000	-68.583333	4.0	4.0	7.5	L	0592	R	A	N46473000	46.791667	W068373000	-68.625000	4.0	4.0			0509	200204
IR800	420	Q	T	N46453000	46.758333	W068350000	-68.583333	4.0	4.0	7.5	L	0590	R	A	N46473000	46.791667	W068373000	-68.625000	4.0	4.0			0509	200204
IR800	170	R	A	N46473000	46.791667	W068373000	-68.625000	4.0	4.0			0509	S	T	N47030000	47.050000	W068550000	-68.916667	4.0	4.0	7.5	L	0322	200204
IR800	430	R	A	N46473000	46.791667	W068373000	-68.625000	4.0	4.0			0509	S	T	N47030000	47.050000	W068550000	-68.916667	4.0	4.0	7.5	L	0322	200204
IR800	330	R1	A	N46473000	46.791667	W068373000	-68.625000	4.0	4.0			0524	S1	T	N47030000	47.050000	W068550000	-68.916667	4.0	4.0	7.5	L	0106	200204
IR800	180	S	T	N47030000	47.050000	W068550000	-68.916667	4.0	4.0	7.5	L	0322	T	T	N47050000	47.083333	W069083000	-69.141667	4.0	4.0			3481	200204
IR800	440	S	T	N47030000	47.050000	W068550000	-68.916667	4.0	4.0	7.5	L	0322	T	T	N47050000	47.083333	W069083000	-69.141667	4.0	4.0			3481	200204
IR800	340	S1	T	N47030000	47.050000	W068550000	-68.916667	4.0	4.0	7.5	L	0106	BF	T	N46560000	46.933333	W069120000	-69.200000	4.0	4.0			2856	200204
IR800	190	T	T	N47050000	47.083333	W069083000	-69.141667	4.0	4.0			3481	U	T	N46530000	46.883333	W069323000	-69.541667	4.0	4.0			3221	200204
IR800	450	T	T	N47050000	47.083333	W069083000	-69.141667	4.0	4.0			3481	U	T	N46530000	46.883333	W069323000	-69.541667	4.0	4.0			3221	200204
IR800	590	T1	T	N47050000	47.083333	W069083000	-69.141667	4.0	4.0			3240	U1	T	N46530000	46.883333	W069323000	-69.541667	4.0	4.0	7.5	L	2953	200204
IR800	200	U	T	N46530000	46.883333	W069323000	-69.541667	4.0	4.0			3221	V	T	N46423000	46.708333	W069510000	-69.850000	4.0	4.0	7.5	L	3109	200204
IR800	460	U	T	N46530000	46.883333	W069323000	-69.541667	4.0	4.0			3221	V	T	N46423000	46.708333	W069510000	-69.850000	4.0	4.0	7.5	L	3109	200204
IR800	600	U1	T	N46530000	46.883333	W069323000	-69.541667	4.0	4.0	7.5	L	2953	BQ	T	N46400000	46.666667	W069313000	-69.525000	4.0	4.0			2367	200204
IR800	210	V	T	N46423000	46.708333	W069510000	-69.850000	4.0	4.0	7.5	L	3109	W	T	N46380000	46.633333	W069550000	-69.916667	4.0	4.0			2891	200204
IR800	470	V	T	N46423000	46.708333	W069510000	-69.850000	4.0	4.0	7.5	L	3109	W	T	N46380000	46.633333	W069550000	-69.916667	4.0	4.0			2891	200204
IR800	220	W	T	N46380000	46.633333	W069550000	-69.916667	4.0	4.0			2891	X	T	N45450000	45.750000	W070040000	-70.066667	3.0	4.0			2767	200204
IR800	480	W	T	N46380000	46.633333	W069550000	-69.916667	4.0	4.0			2891	X	T	N45450000	45.750000	W070040000	-70.066667	3.0	4.0			2767	200204
IR800	230	X	T	N45450000	45.750000	W070040000	-70.066667	3.0	4.0			2767	Y	T	N45390000	45.650000	W070050000	-70.083333	3.0	4.0	7.5	R	2872	200204
IR800	490	X	T	N45450000	45.750000	W070040000	-70.066667	3.0	4.0			2767	Y	T	N45390000	45.650000	W070050000	-70.083333	3.0	4.0	7.5	R	2872	200204
IR800	240	Y	T	N45390000	45.650000	W070050000	-70.083333	3.0	4.0	7.5	R	2872	Z	T	N45350000	45.583333	W070080000	-70.133333	4.0	4.0			3079	200204
IR800	500	Y	T	N45390000	45.650000	W070050000	-70.083333	3.0	4.0	7.5	R	2872	Z	T	N45350000	45.583333	W070080000	-70.133333	4.0	4.0			3079	200204
IR800	250	Z	T	N45350000	45.583333	W070080000	-70.133333	4.0	4.0			3079	AA	T	N45030000	45.050000	W070580000	-70.966667	4.0	4.0	7.5	R	3240	200204
IR800	510	Z	T	N45350000	45.583333	W070080000	-70.133333	4.0	4.0			3079	AA	T	N45030000	45.050000	W070580000	-70.966667	4.0	4.0	7.5	R	3240	200204
IR801	0	A	S	N44160000	44.266667	W072180000	-72.300000	4.0	4.0				B	T	N44160000	44.266667	W072190000	-72.316667	4.0	4.0			3399	200204
IR801	280	AA	T	N43560000	43.933333	W076040000	-76.066667	4.0	4.0			0882	AB	T	N44080000	44.133333	W075510000	-75.850000	4.0	4.0			1325	200204
IR801	290	AB	T	N44080000	44.133333	W075510000	-75.850000	4.0	4.0			1325	AC	T	N44240000	44.400000	W075270000	-75.450000	4.0	4.0			1432	200204
IR801	300	AC	T	N44240000	44.400000	W075270000	-75.450000	4.0	4.0			1432	AD	T	N44380000	44.633333	W074540000	-74.900000	4.0	4.0			1681	200204
IR801	310	AD	T	N44380000	44.633333	W074540000	-74.900000	4.0	4.0			1681	AE	T	N44370000	44.616667	W074420000	-74.700000	4.0	4.0			2284	200204
IR801	320	AE	T	N44370000	44.616667	W074420000	-74.700000	4.0	4.0			2284	N1	T	N44270000	44.450000	W074420000	-74.700000	4.0	3.0			2930	200204
IR801	10	B	T	N44160000	44.266667	W072190000	-72.316667	4.0	4.0			3399	C	T	N43570000	43.950000	W072500000	-72.833333	4.0	4.0			3174	200204
IR801	470	BA	T	N43560000	43.933333	W076040000	-76.066667	3.0	4.0			0809	BB	T	N44210000	44.350000	W075490000	-75.816667	3.0	4.0			1337	200204
IR801	480	BB	T	N44210000	44.350000	W075490000	-75.816667	3.0	4.0			1337	BC	T	N44243000	44.408333	W075390000	-75.650000	3.0	4.0			1834	200204
IR801	490	BC	T	N44243000	44.408333	W075390000	-75.650000	3.0	4.0			1834	BD	T	N44213000	44.358333	W075323000	-75.541667	2.0	2.0			2324	200204
IR801	500	BD	T	N44213000	44.358333	W075323000	-75.541667	2.0	2.0			2324	BE	T	N44160000	44.266667	W075300000	-75.500000	6.0	2.0			2529	200204
IR801	510	BE	T	N44160000	44.266667	W075300000	-75.500000	6.0	2.0			2529	BF	T	N44110000	44.183333	W075280000	-75.466667	6.0	3.0			2441	200204
IR801	520	BF	T	N44110000	44.183333	W075280000	-75.466667	6.0	3.0			2441	BG	T	N44080000	44.133333	W075250000	-75.416667	4.0	3.0			2589	200204
IR801	530	BG	T	N44080000	44.133333	W075250000	-75.416667	4.0	3.0			2589	P1	T	N43590000	43.983333	W075280000	-75.466667	4.0	3.0			3030	200204
IR801	20	C	T	N43570000	43.950000	W072500000	-72.833333	4.0	4.0			3174	D	T	N43470000	43.783333	W073040000	-73.066667	4.0	4.0			3281	200204
IR801	30	D	T	N43470000	43.783333	W073040000	-73.066667	4.0	4.0			3281	E	T	N43450000	43.750000	W073120000	-73.200000	4.0	4.0			0058	200204
IR801	40	E	T	N43450000	43.750000	W073120000	-73.200000	4.0	4.0			0058	F	T	N43480000	43.800000	W073190000	-73.316667	4.0	4.0			0467	200204
IR801	50	F	T	N43480000	43.800000	W073190000	-73.316667	4.0	4.0			0467	G	T	N44160000	44.266667	W073390000	-73.650000	4.0	4.0			0635	200204
IR801	60	G	T	N44160000	44.266667	W073390000	-73.650000	4.0	4.0			0635	H	T	N44250000	44.416667	W073450000	-73.750000	4.0	4.0			0631	200204
IR801	70	H	T	N44250000	44.416667	W073450000	-73.750000	4.0	4.0			0631	I	T	N44290000	44.483333	W073480000	-73.800000	4.0	4.0			0632	200204
IR801	80	I	T	N44290000	44.483333	W073480000	-73.800000	4.0	4.0			0632	J	T	N44410000	44.683333	W073560000	-73.933333	4.0	4.0			0427	200204
IR801	90	J	T	N44410000	44.683333	W073560000	-73.933333	4.0	4.0			0427	K	T	N44440000	44.733333	W074070000	-74.116667	4.0	4.0			3579	200204
IR801	100	K	T	N44440000	44.733333	W074070000	-74.116667	4.0	4.0			3579	L	T	N44410000	44.683333	W074160000	-74.266667	4.0	4.0			3336	200204
IR801	110	L	T	N44410000	44.683333	W074160000	-74.266667	4.0	4.0			3336	M	T	N44350000	44.583333	W074320000	-74.533333	4.0	4.0			3220	200204
IR801	120	M	T	N44350000	44.583333	W074320000	-74.533333	4.0	4.0			3220	N	T	N44270000	44.450000	W074420000	-74.700000	4.0	3.0			3139	200204
IR801	130	N	T	N44270000	44.450000	W074420000	-74.700000	4.0	3.0			3139	O	T	N44110000	44.183333	W075050000	-75.083333	5.0	3.0			3200	200204
IR801	330	N1	T	N44270000	44.450000	W074420000	-74.700000	4.0	3.0			2930	O	T	N44110000	44.183333	W075050000	-75.083333	5.0	3.0			3200	200204
IR801	340	O	T	N44110000	44.183333	W075050000	-75.083333	5.0	3.0			3200	P	T	N43590000	43.983333	W075280000	-75.466667	4.0	3.0			3232	200204
IR801	140	O	T	N44110000	44.183333	W075050000	-75.083333	5.0	3.0			3200	P	T	N43590000	43.983333	W075280000	-75.466667	4.0	3.0			3232	200204
IR801	350	P	T	N43590000	43.983333	W075280000	-75.466667	4.0	3.0			3232	Q	T	N43540000	43.900000	W075370000	-75.616667	4.0	3.0			3239	200204
IR801	150	P	T	N43590000	43.983333	W075280000	-75.466667	4.0	3.0			3232	Q	T	N43540000	43.900000	W075370000	-75.616667	4.0	3.0			3239	200204
IR801	540	P1	T	N43590000	43.983333	W075280000	-75.466667	4.0	3.0			3030	Q	T	N43540000	43.900000	W075370000	-75.616667	4.0	3.0			3239	200204
IR801	360	Q	T	N43540000	43.900000	W075370000	-75.616667	4.0	3.0			3239	R	T	N43520000	43.866667	W075410000	-75.683333	4.0	4.0			3277	200204
IR801	160	Q	T	N43540000	43.900000	W075370000	-75.616667	4.0	3.0			3239	R	T	N43520000	43.866667	W075410000	-75.683333	4.0	4.0			3277	200204
IR801	370	R	T	N43520000	43.866667	W075410000	-75.683333	4.0	4.0			3277	S	T	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			3387	200204
IR801	170	R	T	N43520000	43.866667	W075410000	-75.683333	4.0	4.0			3277	S	T	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			3387	200204
IR801	260	R1	A	N43520000	43.866667	W075410000	-75.683333	4.0	4.0			3301	S1	T	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			0093	200204
IR801	380	S	T	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			3387	T	T	N43423000	43.708333	W076203000	-76.341667	4.0	4.0			0089	200204
IR801	180	S	T	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			3387	T	T	N43423000	43.708333	W076203000	-76.341667	4.0	4.0			0089	200204
IR801	270	S1	T	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			0093	AA	T	N43560000	43.933333	W076040000	-76.066667	4.0	4.0			0882	200204
IR801	460	S2	A	N43470000	43.783333	W075530000	-75.883333	4.0	4.0			0486	BA	T	N43560000	43.933333	W076040000	-76.066667	3.0	4.0			0809	200204
IR801	390	T	T	N43423000	43.708333	W076203000	-76.341667	4.0	4.0			0089	U	T	N43470000	43.783333	W076310000	-76.516667	4.0	4.0			0731	200204
IR801	190	T	T	N43423000	43.708333	W076203000	-76.341667	4.0	4.0			0089	U	T	N43470000	43.783333	W076310000	-76.516667	4.0	4.0			0731	200204
IR801	400	U	T	N43470000	43.783333	W076310000	-76.516667	4.0	4.0			0731	V	T	N43560000	43.933333	W076250000	-76.416667	4.0	4.0			1430	200204
IR801	200	U	T	N43470000	43.783333	W076310000	-76.516667	4.0	4.0			0731	V	T	N43560000	43.933333	W076250000	-76.416667	4.0	4.0			1430	200204
IR801	410	V	T	N43560000	43.933333	W076250000	-76.416667	4.0	4.0			1430	W	T	N43570000	43.950000	W076170000	-76.283333	4.0	4.0			1816	200204
IR801	210	V	T	N43560000	43.933333	W076250000	-76.416667	4.0	4.0			1430	W	T	N43570000	43.950000	W076170000	-76.283333	4.0	4.0			1816	200204
IR801	420	W	T	N43570000	43.950000	W076170000	-76.283333	4.0	4.0			1816	X	T	N43560000	43.933333	W076110000	-76.183333	4.0	4.0			2078	200204
IR801	220	W	T	N43570000	43.950000	W076170000	-76.283333	4.0	4.0			1816	X	T	N43560000	43.933333	W076110000	-76.183333	4.0	4.0			2078	200204
IR801	430	X	T	N43560000	43.933333	W076110000	-76.183333	4.0	4.0			2078	Y	T	N43540000	43.900000	W076080000	-76.133333	4.0	4.0			2305	200204
IR801	230	X	T	N43560000	43.933333	W076110000	-76.183333	4.0	4.0			2078	Y	T	N43540000	43.900000	W076080000	-76.133333	4.0	4.0			2305	200204
IR801	440	Y	T	N43540000	43.900000	W076080000	-76.133333	4.0	4.0			2305	Z	X	N43340000	43.566667	W075510000	-75.850000	4.0	4.0			2385	200205
IR801	240	Y	T	N43540000	43.900000	W076080000	-76.133333	4.0	4.0			2305	Z	X	N43340000	43.566667	W075510000	-75.850000	4.0	4.0			2385	200205
IR802	0	A	S	N48194616	48.329489	W070594328	-70.995356	4.0	4.0			0902	B	T	N49050000	49.083333	W070593000	-70.991667	10.0	10.0			0898	200204
IR802	10	B	T	N49050000	49.083333	W070593000	-70.991667	10.0	10.0			0898	C	T	N49400000	49.666667	W071000000	-71.000000	10.0	10.0			1062	200204
IR802	20	C	T	N49400000	49.666667	W071000000	-71.000000	10.0	10.0			1062	CC	T	N49440000	49.733333	W070560000	-70.933333	10.0	10.0			1366	200204
