Dehausen Diemelst		123.150				984 ft 					51,46  	9,05  	51	27	48	9	2	56
Der Dingel Hümme		123.150				741 ft 					51,54  	9,38  	51	32	14	9	22	56
Der Ring Schwalms		123.375				696 ft 					50,89  	9,25  	50	53	29	9	14	56
Dillingen		130.125				804 ft 					49,39  	6,75  	49	23	12	6	44	55
Dobenreuth		123.350				1.066 ft 					49,69  	11,15  	49	41	23	11	8	50
Dornberg Sontra		123.500				1.345 ft 					51,09  	9,92  	51	5	17	9	55	5
Dornsode		123.350				23 ft 					53,58  	9,04  	53	34	37	9	2	22
Dorsten Kanal		123.350				118 ft 					51,66  	6,99  	51	39	41	6	59	6
Dürabuch		123.500				1.739 ft 					48,26  	11,21  	48	15	47	11	12	36
Düren-Hürtgenw.		123.500				1.174 ft 					50,69  	6,42  	50	41	37	6	25	2
Düsseld Wolfsaap		123.500				371 ft 					51,27  	6,85  	51	15	54	6	51	9
Eibinger-Forstw.		123.500				1.394 ft 					50,02  	7,90  	50	1	0	7	53	50
Ellwangen		122.000				1.649 ft 	30. Dez	785 m 	30 m 	G	48,96  	10,24  	48	57	39	10	14	12
Emmerich		123.350	123.150			52 ft 					51,82  	6,27  	51	49	23	6	16	24
Erbendorf Schweis		123.350				1.624 ft 					49,84  	12,07  	49	50	37	12	4	1
Ernzen		123.425				1.131 ft 					49,83  	6,44  	49	49	46	6	26	17
Eschenlohe		122.300				2.060 ft 					47,62  	11,18  	47	37	26	11	11	3
Esslingen Jägerh		122.475				1.608 ft 					48,76  	9,33  	48	45	41	9	20	4
Essweiler		129.975				1.247 ft 					49,56  	7,58  	49	33	40	7	34	45
Etting Adelmannsb		123.500				1.250 ft 					48,81  	11,42  	48	48	41	11	25	23
Eudenbach		118.425				981 ft 					50,67  	7,36  	50	40	20	7	21	48
Eutingen		129.975				1.637 ft 					48,50  	8,78  	48	29	43	8	46	44
Farrenberg		123.475				2.641 ft 					48,39  	9,08  	48	23	10	9	4	36
Fichtelbrunn		122.300	123.350			1.614 ft 					49,50  	11,66  	49	29	54	11	39	33
Fischbek		129.975				203 ft 					53,46  	9,83  	53	27	26	9	49	56
Frechen		130.125				433 ft 					50,92  	6,77  	50	55	25	6	46	22
Friesener Warte		122.200				1.699 ft 					49,84  	11,05  	49	50	11	11	2	50
Fulda  Johannisau		122.400				1.558 ft 	26. Aug	588 m 	30 m 	G	50,53  	9,68  	50	31	56	9	40	56
Fürstenfeldbruck		122.100				1.702 ft 					48,21  	11,27  	48	12	20	11	16	1
Fürth Seckendorf		123.475	123.500			1.043 ft 					49,48  	10,86  	49	28	56	10	51	31
Füssen		123.350				2.569 ft 					47,58  	10,69  	47	35	3	10	41	8
Gammelsdorf		129.975				1.588 ft 					48,57  	11,94  	48	34	28	11	56	6
Garbenheimer Wies		122.300				495 ft 					50,57  	8,53  	50	34	16	8	31	37
Gedern		123.475				1.214 ft 					50,43  	9,19  	50	25	56	9	11	39
Geilenkirchen-Tevern		122.100				285 ft 					50,96  	6,04  	50	57	39	6	2	33
Geitau		123.400				2.657 ft 					47,68  	11,96  	47	40	57	11	57	45
Geratshof		123.500				2.073 ft 					47,99  	10,84  	47	59	34	10	50	39
Giessen  Wieseck		123.350				541 ft 					50,60  	8,73  	50	36	17	8	44	1
Grabenstetten		130.125				2.297 ft 					48,54  	9,44  	48	32	10	9	26	11
Grambeker Heide		123.400				135 ft 					53,58  	10,68  	53	34	56	10	40	56
Greding		122.500				1.716 ft 					49,06  	11,29  	49	3	45	11	17	29
Greiling		123.350				2.352 ft 					47,77  	11,60  	47	45	56	11	35	54
Grevenbroich		123.500				292 ft 					51,08  	6,55  	51	4	38	6	32	49
Grifte Edermünde		123.150				656 ft 					51,22  	9,45  	51	13	15	9	26	48
Grosse Höhe		123.375				66 ft 					52,99  	8,57  	52	59	11	8	34	20
Grosse Wiese Geb		123.350	123.150			256 ft 					52,14  	10,57  	52	8	23	10	34	4
Großes Moor		122.200				141 ft 					52,54  	10,02  	52	32	13	10	1	17
Gruibingen Nortel		129.975				2.316 ft 					48,62  	9,66  	48	37	17	9	39	21
