PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE	STRT_ICAO	DEST_ICAO
CZ00001	CZ	H	BAGOTVILLE	PIERRE ELLIOTT TRUDEAU INTL			FL500	5900				200313	CTBG	CYUL
CZ00002	CZ	H	BAIE COMEAU	PIERRE ELLIOTT TRUDEAU INTL								200313	CYBC	CYUL
CZ00003	CZ	H	BAIE COMEAU	QUEBEC JEAN LESAGE INTL								200209	CYBC	CYQB
CZ00004	CZ	H	CALGARY INTL	CRANBROOK								200209	CYYC	CYXC
CZ00006	CZ	H	CALGARY INTL	EDMONTON INTL								200209	CYYC	CYEG
CZ00010	CZ	H	CALGARY INTL	VANCOUVER INTL								200209	CYYC	CYVR
CZ00012	CZ	H	CRANBROOK	CALGARY INTL								200209	CYXC	CYYC
CZ00014	CZ	H	CRANBROOK	VANCOUVER INTL								200209	CYXC	CYVR
CZ00015	CZ	H	EDMONTON INTL	CALGARY INTL								200209	CYEG	CYYC
CZ00016	CZ	H	EDMONTON INTL	VANCOUVER INTL								200209	CYEG	CYVR
CZ00017	CZ	H	EDMONTON INTL	WINNIPEG INTL								200209	CYEG	CYWG
CZ00019	CZ	H	HALIFAX INTL	PIERRE ELLIOTT TRUDEAU INTL								200313	CYHZ	CYUL
CZ00020	CZ	H	HALIFAX INTL	MONTREAL INTL MIRABEL								200302	CYHZ	CYMX
CZ00021	CZ	H	HALIFAX INTL	MONTREAL/ST HUBERT								200302	CYHZ	CYHU
CZ00022	CZ	H	HALIFAX INTL	TORONTO								200210	CYHZ	
CZ00023	CZ	H	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL	N							200313	CYHM	CYUL
CZ00024	CZ	H	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL	J		FL500	3100				200313	CYHM	CYUL
CZ00025	CZ	H	HAMILTON	MONTREAL INTL MIRABEL	N		FL500	3100				200302	CYHM	CYMX
CZ00026	CZ	H	HAMILTON	MONTREAL INTL MIRABEL	J		FL500	3100				200302	CYHM	CYMX
CZ00027	CZ	H	HAMILTON	OTTAWA MACDONALD CARTIER INTL			FL500	3100				200209	CYHM	CYOW
CZ00028	CZ	H	HAMILTON	PITTSBURG INTL								200209	CYHM	KPIT
CZ00029	CZ	H	HAMILTON	MONTREAL/ST HUBERT	N		FL500	3100				200302	CYHM	CYHU
CZ00030	CZ	H	HAMILTON	MONTREAL/ST HUBERT	J		FL500	3100				200302	CYHM	CYMX
CZ00031	CZ	H	KELOWNA	VANCOUVER INTL								200209	CYLW	CYVR
CZ00033	CZ	H	LONDON	PIERRE ELLIOTT TRUDEAU INTL	N							200313	CYXU	CYUL
CZ00034	CZ	H	LONDON	PIERRE ELLIOTT TRUDEAU INTL	J							200313	CYXU	CYUL
CZ00035	CZ	H	LONDON	MONTREAL INTL MIRABEL	N							200302	CYXU	CYMX
CZ00036	CZ	H	LONDON	MONTREAL INTL MIRABEL	J							200302	CYXU	CYMX
CZ00037	CZ	H	LONDON	OTTAWA MACDONALD CARTIER INTL								200209	CYXU	CYOW
CZ00038	CZ	H	LONDON	MONTREAL/ST HUBERT	N							200302	CYXU	CYHU
CZ00039	CZ	H	LONDON	MONTREAL/ST HUBERT	J							200302	CYXU	CYHU
CZ00041	CZ	H	GREATER MONCTON INTL	PIERRE ELLIOTT TRUDEAU INTL								200313	CYQM	CYUL
CZ00042	CZ	H	GREATER MONCTON INTL	MONTREAL INTL MIRABEL								200302	CYQM	CYMX
CZ00043	CZ	H	GREATER MONCTON INTL	MONTREAL ST HUBERT								200302	CYQM	CYHU
CZ00044	CZ	H	GREATER MONCTON INTL	TORONTO LESTER B PEARSON INTL								200302	CYQM	CYYZ
CZ00045	CZ	H	MONT JOLI	PIERRE ELLIOTT TRUDEAU INTL								200313	CYYY	CYUL
CZ00046	CZ	H	MONT JOLI	QUEBEC JEAN LESAGE INTL								200209	CYYY	CYQB
CZ00047	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	BAIE COMEAU								200313	CYUL	CYBC
CZ00048	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	GENERAL EDWARD LAWRENCE LOGAN INTL								200313	CYUL	KBOS
CZ00049	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	BUFFALO								200313	CYUL	
CZ00050	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	CHARLEVOIX								200313	CYUL	CYML
CZ00051	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	CHICAGO O HARE INTL								200313	CYUL	KORD
CZ00052	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	CLEVELAND								200313	CYUL	
CZ00053	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	DETROIT CITY								200313	CYUL	KDET
CZ00054	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	DETROIT METRO WAYNE CO								200313	CYUL	KDTW
CZ00056	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	HALIFAX INTL								200313	CYUL	CYHZ
CZ00058	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	HAMILTON			FL220	FL180				200313	CYUL	CYHM
CZ00059	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	LA GUARDIA								200313	CYUL	KLGA
CZ00060	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	GREATER MONCTON INTL								200313	CYUL	CYQM
CZ00061	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	NEWARK INTL								200313	CYUL	KEWR
CZ00063	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	PHILADELPHIA INTL								200313	CYUL	KPHL
CZ00064	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	QUEBEC JEAN LESAGE INTL								200313	CYUL	CYQB
CZ00065	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	SEPT ILES								200313	CYUL	CYZV
CZ00066	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	TORONTO LESTER B PEARSON INTL			FL220	FL180				200313	CYUL	CYYZ
CZ00067	CZ	H	PIERRE ELLIOTT TRUDEAU INTL	WINNIPEG INTL								200511	CYUL	CYWG
CZ00068	CZ	H	MONTREAL INTL MIRABEL	GENERAL EDWARD LAWRENCE LOGAN INTL								200302	CYMX	KBOS
CZ00069	CZ	H	MONTREAL INTL MIRABEL	CHICAGO O HARE INTL								200302	CYMX	KORD
CZ00070	CZ	H	MONTREAL INTL MIRABEL	DETROIT METRO WAYNE CO								200302	CYMX	KDTW
CZ00071	CZ	H	MONTREAL INTL MIRABEL	HAMILTON			FL220	FL180				200302	CYMX	CYHM
CZ00072	CZ	H	MONTREAL INTL MIRABEL	JOHN F KENNEDY INTL								200302	CYMX	KJFK
CZ00073	CZ	H	MONTREAL INTL MIRABEL	QUEBEC JEAN LESAGE INTL								200302	CYMX	CYQB
CZ00074	CZ	H	MONTREAL INTL MIRABEL	MONCTON								200302	CYMX	CYQM
CZ00075	CZ	H	MONTREAL INTL MIRABEL	PHILADELPHIA INTL								200302	CYMX	KPHL
CZ00077	CZ	H	MONTREAL INTL MIRABEL	TORONTO LESTER B PEARSON INTL			FL220	FL180				200302	CYMX	CYYZ
CZ00078	CZ	H	MONTREAL/ST HUBERT	BRADLEY INTL								200302	CYHU	KBDL
CZ00079	CZ	H	MONTREAL/ST HUBERT	TORONTO LESTER B PEARSON INTL			FL220	FL180				200302	CYHU	CYYZ
CZ00080	CZ	H	MULLAN PASS	CALGARY INTL								200210		CYYC
CZ00081	CZ	H	NORTH BAY	OTTAWA MACDONALD CARTIER INTL 1			FL600	FL180				200304	CYYB	CYOW
CZ00082	CZ	H	NORTH BAY	OTTAWA MACDONALD CARTIER INTL 2			FL600	FL190				200304	CYYB	CYOW
CZ00083	CZ	H	NORTH BAY	TORONTO LESTER B PEARSON INTL								200210	CYYB	CYYZ
CZ00084	CZ	H	OSHAWA	DETROIT CITY			FL220	3200				200210	CYOO	KDET
CZ00085	CZ	H	OSHAWA	DETROIT METRO WAYNE CO			FL220	3200				200210	CYOO	KDTW
CZ00086	CZ	H	OSHAWA	WILLOW RUN			FL220	3200				200210	CYOO	KYIP
CZ00087	CZ	H	OSHAWA	PIERRE ELLIOTT TRUDEAU INTL								200313	CYOO	CYUL
CZ00088	CZ	H	OSHAWA	MONTREAL INTL MIRABEL								200302	CYOO	CYMX
CZ00089	CZ	H	OSHAWA	OAKLAND CO INTL			FL220	3200				200210	CYOO	KPTK
CZ00090	CZ	H	OSHAWA	MONTREAL/ST HUBERT								200302	CYOO	CYHU
CZ00091	CZ	H	OSHAWA	WINDSOR			FL220	3200				200210	CYOO	CYQG
CZ00092	CZ	H	OTTAWA MACDONALD CARTIER INTL	BAIE COMEAU								200210	CYOW	CYBC
CZ00094	CZ	H	OTTAWA MACDONALD CARTIER INTL	CALGARY INTL								200210	CYOW	CYYC
CZ00095	CZ	H	OTTAWA MACDONALD CARTIER INTL	CLEVELAND HOPKINS INTL								200302	CYOW	KCLE
CZ00096	CZ	H	OTTAWA MACDONALD CARTIER INTL	DETROIT CITY								200210	CYOW	KDET
CZ00097	CZ	H	OTTAWA MACDONALD CARTIER INTL	DETROIT METRO WAYNE CO								200210	CYOW	KDTW
CZ00098	CZ	H	OTTAWA MACDONALD CARTIER INTL	WILLOW RUN								200210	CYOW	KYIP
CZ00099	CZ	H	OTTAWA MACDONALD CARTIER INTL	EDMONTON INTL								200210	CYOW	CYEG
CZ00100	CZ	H	OTTAWA MACDONALD CARTIER INTL	HALIFAX INTL 1								200210	CYOW	CYHZ
CZ00101	CZ	H	OTTAWA MACDONALD CARTIER INTL	HALIFAX INTL 2 (RNAV)								200210	CYOW	CYHZ
CZ00102	CZ	H	OTTAWA MACDONALD CARTIER INTL	HAMILTON								200210	CYOW	CYHM
CZ00103	CZ	H	OTTAWA MACDONALD CARTIER INTL	LONDON			FL600	FL240				200308	CYOW	CYXU
CZ00104	CZ	H	OTTAWA MACDONALD CARTIER INTL	MONCTON								200210	CYOW	CYQM
CZ00105	CZ	H	OTTAWA MACDONALD CARTIER INTL	NEWARK INTL								200210	CYOW	KEWR
CZ00109	CZ	H	OTTAWA MACDONALD CARTIER INTL	OAKLAND CO INTL								200210	CYOW	KPTK
CZ00110	CZ	H	OTTAWA MACDONALD CARTIER INTL	QUEBEC JEAN LESAGE INTL								200210	CYOW	CYQB
CZ00111	CZ	H	OTTAWA MACDONALD CARTIER INTL	REGINA								200210	CYOW	CYQR
CZ00112	CZ	H	OTTAWA MACDONALD CARTIER INTL	SASKATOON J G DIEFENBAKER INTL								200210	CYOW	CYXE
CZ00113	CZ	H	OTTAWA MACDONALD CARTIER INTL	SEPT ILES								200210	CYOW	CYZV
CZ00114	CZ	H	OTTAWA MACDONALD CARTIER INTL	TORONTO LESTER B PEARSON INTL								200210	CYOW	CYYZ
CZ00115	CZ	H	OTTAWA MACDONALD CARTIER INTL	VANCOUVER INTL								200210	CYOW	CYVR
CZ00116	CZ	H	OTTAWA MACDONALD CARTIER INTL	WINDSOR								200210	CYOW	CYQG
CZ00117	CZ	H	OTTAWA MACDONALD CARTIER INTL	WINNIPEG INTL								200210	CYOW	CYWG
CZ00118	CZ	H	PORT HARDY	VANCOUVER INTL								200210	CYZT	CYVR
CZ00119	CZ	H	PRINCE GEORGE	VANCOUVER INTL								200210	CYXS	CYVR
CZ00120	CZ	H	QUEBEC JEAN LESAGE INTL	BAIE COMEAU								200210	CYQB	CYBC
CZ00121	CZ	H	QUEBEC JEAN LESAGE INTL	PIERRE ELLIOTT TRUDEAU INTL								200313	CYQB	CYUL
CZ00122	CZ	L	BAIE COMEAU	PIERRE ELLIOTT TRUDEAU INTL								200313	CYBC	CYUL
CZ00123	CZ	H	QUEBEC JEAN LESAGE INTL	MONTREAL INTL MIRABEL								200302	CYQB	CYMX
CZ00124	CZ	L	BAIE COMEAU	QUEBEC JEAN LESAGE INTL								200210	CYBC	CYQB
CZ00125	CZ	H	QUEBEC JEAN LESAGE INTL	MONT JOLI								200210	CYQB	CYYY
CZ00126	CZ	H	QUEBEC JEAN LESAGE INTL	NEWARK INTL								200210	CYQB	KEWR
CZ00127	CZ	H	QUEBEC JEAN LESAGE INTL	OTTAWA MACDONALD CARTIER INTL 1								200210	CYQB	CYOW
CZ00128	CZ	H	QUEBEC JEAN LESAGE INTL	OTTAWA MACDONALD CARTIER INTL 2 (RNAV)			FL220	3700				200210	CYQB	CYOW
CZ00130	CZ	H	QUEBEC JEAN LESAGE INTL	MONTREAL/ST HUBERT								200302	CYQB	CYHU
CZ00131	CZ	H	QUEBEC JEAN LESAGE INTL	SEPT ILES								200210	CYQB	CYZV
CZ00132	CZ	H	QUEBEC JEAN LESAGE INTL	TORONTO LESTER B PEARSON INTL								200210	CYQB	CYYZ
CZ00134	CZ	H	SAINT JOHN	GENERAL EDWARD LAWRENCE LOGAN INTL								200210	CYSJ	KBOS
CZ00135	CZ	H	SAINT JOHN	GENERAL EDWARD LAWRENCE LOGAN INTL								200210	CYSJ	KBOS
CZ00137	CZ	H	SEATTLE TACOMA INTL	VANCOUVER INTL								200210	KSEA	CYVR
CZ00139	CZ	H	SEPT ILES	PIERRE ELLIOTT TRUDEAU INTL								200313	CYZV	CYUL
CZ00140	CZ	L	CALGARY INTL	CRANBROOK								200311	CYYC	CYXC
CZ00141	CZ	H	SEPT ILES	QUEBEC JEAN LESAGE INTL								200210	CYZV	CYQB
CZ00142	CZ	H	SEPT ILES	TORONTO LESTER B PEARSON INTL								200210	CTZV	CYYZ
CZ00144	CZ	L	CALGARY INTL	EDMONTON INTL								200311	CYYC	CYEG
CZ00145	CZ	H	SUDBURY	OTTAWA MACDONALD CARTIER INTL 1 LOW			FL600	FL180				200304	CYSB	CYOW
CZ00147	CZ	L	CALGARY INTL	VANCOUVER INTL								200311	CYYC	CYVR
CZ00148	CZ	L	CALGARY INTL	WINNIPEG INTL								200311	CYYC	CYWG
CZ00150	CZ	L	CRANBROOK	CALGARY INTL								200209	CYXC	CYYC
CZ00151	CZ	L	CRANBROOK	VANCOUVER INTL								200209	CYXC	CYVR
CZ00152	CZ	L	EDMONTON INTL	CALGARY INTL								200209	CYXD	CYYC
CZ00153	CZ	L	EDMONTON CITY CENTER	CALGARY INTL								200209	CYXD	CYYC
CZ00154	CZ	L	ENDERBY	CALGARY INTL								200209		CYYC
CZ00155	CZ	L	HALIFAX INTL	PIERRE ELLIOTT TRUDEAU INTL			15000					200313	CYHZ	CYUL
CZ00156	CZ	L	HALIFAX INTL	MONTREAL INTL MIRABEL			15000					200302	CYHZ	CYMX
CZ00157	CZ	L	HAMILTON	BUFFALO			2800					200209	CYHM	KBUF
CZ00158	CZ	L	HAMILTON	TORONTO/BUTTONVILLE MUNI			2800					200302	CYHM	CYKZ
CZ00159	CZ	L	HAMILTON	PIERRE ELLIOTT TRUDEAU INTL			3100					200313	CYHM	CYUL
CZ00160	CZ	L	HAMILTON	ERIE								200209	CYHM	KERI
CZ00161	CZ	H	TIMMINS	TORONTO/CITY CENTRE			FL230	5000				200302	CYTS	CYTZ
CZ00162	CZ	H	TORONTO LESTER B PEARSON INTL	ATLANTIC CITY INTL								200301	CYYZ	KACY
CZ00163	CZ	H	TORONTO LESTER B PEARSON INTL	GENERAL EDWARD LAWRENCE LOGAN INTL								200210	CYYZ	KBOS
CZ00164	CZ	H	TORONTO LESTER B PEARSON INTL	BRADLEY INTL								200210	CYYZ	KBDL
CZ00165	CZ	L	HAMILTON	MONTREAL MIRABEL INTL			3100					200209	CYHM	CYMX
CZ00166	CZ	H	TORONTO LESTER B PEARSON INTL	CHICAGO MIDWAY LOW			FL220	FL180				200210	CYYZ	KMDW
CZ00167	CZ	H	TORONTO LESTER B PEARSON INTL	CHICAGO MIDWAY HIGH			FL500	FL240				200210	CYYZ	KMDW
CZ00168	CZ	H	TORONTO LESTER B PEARSON INTL	CHICAGO O HARE INTL								200210	CYYZ	KORD
CZ00169	CZ	H	TORONTO LESTER B PEARSON INTL	CLEVELAND HOPKINS INTL			FL220	FL180				200210	CYYZ	KCLE
CZ00170	CZ	H	TORONTO LESTER B PEARSON INTL	COLUMBUS LOW			FL220	FL180				200210	CYYZ	
CZ00171	CZ	H	TORONTO LESTER B PEARSON INTL	COLUMBUS HIGH			FL500	FL240				200210	CYYZ	
CZ00172	CZ	H	TORONTO LESTER B PEARSON INTL	COVINGTON/CINCINNATI LOW			FL220	FL180				200210	CYYZ	
CZ00173	CZ	H	TORONTO LESTER B PEARSON INTL	COVINGTON/CINCINNATI HIGH			FL500	FL240				200210	CYYZ	
CZ00174	CZ	H	TORONTO LESTER B PEARSON INTL	DETROIT CITY			FL220	3700				200210	CYYZ	KDET
CZ00175	CZ	H	TORONTO LESTER B PEARSON INTL	DETROIT METRO WAYNE CO			FL220	3700				200210	CYYZ	KDTN
CZ00176	CZ	H	TORONTO LESTER B PEARSON INTL	WILLOW RUN			FL220	3700				200210	CYYZ	KYIP
CZ00177	CZ	H	TORONTO LESTER B PEARSON INTL	PIERRE ELLIOTT TRUDEAU INTL	N							200313	CYYZ	CYUL
CZ00178	CZ	H	TORONTO LESTER B PEARSON INTL	PIERRE ELLIOTT TRUDEAU INTL	J							200313	CYYZ	CYUL
CZ00180	CZ	H	TORONTO LESTER B PEARSON INTL	FORT WAYNE LOW			FL220	FL180				200210	CYYZ	KFWA
CZ00181	CZ	H	TORONTO LESTER B PEARSON INTL	FORT WAYNE HIGH			FL500	FL240				200210	CYYZ	KFWA
CZ00182	CZ	H	TORONTO LESTER B PEARSON INTL	GERALD R FORD INTL								200210	CYYZ	KGRR
CZ00183	CZ	H	TORONTO LESTER B PEARSON INTL	AUSTIN STRAUBEL INTL								200210	CYYZ	KGRB
CZ00184	CZ	H	TORONTO LESTER B PEARSON INTL	INDIANAPOLIS INTL LOW			FL220	FL180				200210	CYYZ	KIND
CZ00185	CZ	H	TORONTO LESTER B PEARSON INTL	INDIANAPOLIS INTL HIGH			FL500	FL240				200210	CYYZ	KIND
CZ00186	CZ	H	TORONTO LESTER B PEARSON INTL	JOHN F KENNEDY INTL								200210	CYYZ	KJFK
CZ00187	CZ	H	TORONTO LESTER B PEARSON INTL	KALAMAZOO BATTLE CREEK INTL								200210	CYYZ	KAZO
CZ00188	CZ	H	TORONTO LESTER B PEARSON INTL	LA GUARDIA 1								200210	CYYZ	KLGA
CZ00189	CZ	H	TORONTO LESTER B PEARSON INTL	LA GUARDIA 2								200210	CYYZ	KLGA
CZ00190	CZ	H	TORONTO LESTER B PEARSON INTL	LOUISVILLE INTL STANDIFORD FLD LOW			FL220	FL180				200210	CYYZ	KSDF
CZ00191	CZ	H	TORONTO LESTER B PEARSON INTL	LOUISVILLE INTL STANDIFORD FLD HIGH			FL500	FL240				200210	CYYZ	KSDF
CZ00192	CZ	H	TORONTO LESTER B PEARSON INTL	GENERAL MITCHELL INTL								200210	CYYZ	KMKE
CZ00193	CZ	H	TORONTO LESTER B PEARSON INTL	MINNEAPOLIS ST PAUL INTL								200210	CYYZ	KMSP
CZ00194	CZ	H	TORONTO LESTER B PEARSON INTL	MONTREAL INTL MIRABEL	N							200302	CYYZ	CYMX
CZ00195	CZ	H	TORONTO LESTER B PEARSON INTL	MONTREAL INTL MIRABEL	J							200302	CYYZ	CYMX
CZ00196	CZ	H	TORONTO LESTER B PEARSON INTL	NASHVILLE INTL								200210	CYYZ	KBNA
CZ00197	CZ	H	TORONTO LESTER B PEARSON INTL	NEWARK INTL	N							200210	CYYZ	KEWR
CZ00198	CZ	H	TORONTO LESTER B PEARSON INTL	NEWARK INTL	J							200210	CYYZ	KEWR
CZ00199	CZ	H	TORONTO LESTER B PEARSON INTL	NORTH BAY								200210	CYYZ	CYYB
CZ00200	CZ	H	TORONTO LESTER B PEARSON INTL	OTTAWA MACDONALD CARTIER INTL								200210	CYYZ	CYOW
CZ00201	CZ	H	TORONTO LESTER B PEARSON INTL	PHILADELPHIA INTL								200301	CYYZ	KPHL
CZ00202	CZ	H	TORONTO LESTER B PEARSON INTL	PITTSBURG INTL								200210	CYYZ	KPIT
CZ00203	CZ	H	TORONTO LESTER B PEARSON INTL	OAKLAND CO INTL			FL220	3700				200210	CYYZ	KPTK
CZ00204	CZ	H	TORONTO LESTER B PEARSON INTL	MONTREAL/ST HUBERT	N							200302	CYYZ	CYHU
CZ00205	CZ	H	TORONTO LESTER B PEARSON INTL	MONTREAL/ST HUBERT	J							200302	CYYZ	CYHU
CZ00206	CZ	H	TORONTO LESTER B PEARSON INTL	SAULT STE MARIE								200210	CYYZ	CYAM
CZ00207	CZ	H	TORONTO LESTER B PEARSON INTL	SUDBURY								200210	CYYZ	CYSB
CZ00208	CZ	H	TORONTO LESTER B PEARSON INTL	TETERBORO								200210	CYYZ	KTEB
CZ00209	CZ	H	TORONTO LESTER B PEARSON INTL	TIMMINS								200210	CYYZ	CYTS
CZ00210	CZ	H	TORONTO LESTER B PEARSON INTL	WHITE PLAINS/WESTCHESTER CO	J							200305	CYYZ	KHPN
CZ00211	CZ	H	TORONTO LESTER B PEARSON INTL	NEW CASTLE CO			FL500	FL240				200210	CYYZ	KILG
CZ00212	CZ	H	TORONTO LESTER B PEARSON INTL	WINDSOR			FL220	3700				200210	CYYZ	CYQG
CZ00228	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	DETROIT CITY			FL220	3700				200302		KDET
CZ00229	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	DETROIT METRO WAYNE CO			FL220	3700				200302		KDTN
CZ00230	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	WILLOW RUN			FL220	3700				200302		KYIP
CZ00231	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	PIERRE ELLIOTT TRUDEAU								200403		CYUL
CZ00232	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	OAKLAND CO INTL			FL220	3700				200302		KPTK
CZ00233	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	SAULT STE MARIE								200302		CYAM
CZ00234	CZ	H	TORONTO/CTY CNTR AND DOWNSVIEW	WINDSOR			FL220	3700				200302		CYOG
CZ00235	CZ	H	TORONTO/BUTTONVILLE MUNI	DETROIT CITY			FL220	3700				200302	CYKZ	KDET
CZ00236	CZ	H	TORONTO/BUTTONVILLE MUNI	DETROIT METRO WAYNE CO			FL220	3700				200302	CYKZ	KDTN
CZ00237	CZ	H	TORONTO/BUTTONVILLE MUNI	WILLOW RUN			FL220	3700				200305	CYKZ	KYIP
CZ00238	CZ	H	TORONTO/BUTTONVILLE MUNI	OAKLAND CO INTL			FL220	3700				200302	CYKZ	KPTK
CZ00239	CZ	H	TORONTO/BUTTONVILLE MUNI	SAULT STE MARIE								200302	CYKZ	CYAM
CZ00240	CZ	H	TORONTO/BUTTONVILLE MUNI	WINDSOR			FL220	3700				200302	CYKZ	CYQG
CZ00241	CZ	H	VANCOUVER INTL	CALGARY INTL	N							200210	CYVR	CYYC
CZ00242	CZ	H	VANCOUVER INTL	CALGARY INTL	J							200210	CYVR	CYYC
CZ00243	CZ	H	VANCOUVER INTL	EDMONTON INTL 1								200210	CYVR	CYEG
CZ00244	CZ	H	VANCOUVER INTL	EDMONTON INTL 2								200210	CYVR	CYEG
CZ00245	CZ	H	VANCOUVER INTL	FORT ST JOHN								200210	CYVR	CYXJ
CZ00246	CZ	H	VANCOUVER INTL	KELOWNA								200210	CYVR	CYLW
CZ00248	CZ	H	VANCOUVER INTL	MONTREAL	J							200210	CYVR	
CZ00249	CZ	H	VANCOUVER INTL	OTTAWA MACDONALD CARTIER INTL	J							200210	CYVR	CYOW
CZ00250	CZ	H	VANCOUVER INTL	PORT HARDY								200210	CYVR	CYZT
CZ00251	CZ	H	VANCOUVER INTL	PRINCE GEORGE								200210	CYVR	CYXS
CZ00252	CZ	H	VANCOUVER INTL	SPOKANE INTL								200210	CYVR	KGEG
CZ00253	CZ	H	VANCOUVER INTL	TORONTO LESTER B PEARSON INTL	J							200210	CYVR	CYYZ
CZ00254	CZ	H	VANCOUVER INTL	WILLIAMS LAKE								200210	CYVR	CYWL
CZ00255	CZ	H	VANCOUVER INTL	WINNIPEG INTL	N							200210	CYVR	CYWG
CZ00257	CZ	H	VICTORIA INTL	CALGARY INTL								200210	CYYJ	CYYC
CZ00258	CZ	H	WILLIAMS LAKE	VANCOUVER INTL								200210	CYWL	CYVR
CZ00260	CZ	H	WINDSOR	TORONTO LESTER B PEARSON INTL								200210	CYQG	CYYZ
CZ00261	CZ	H	WINDSOR	HAMILTON								200210	CYQG	CYHM
CZ00262	CZ	H	WINDSOR	WINNIPEG INTL								200210	CYQG	CYWG
CZ00263	CZ	H	WINNIPEG INTL	CALGARY INTL								200210	CYWG	CYYC
CZ00264	CZ	H	WINNIPEG INTL	PIERRE ELLIOTT TRUDEAU INTL 1			FL230	FL180				200313	CYWG	CYUL
CZ00265	CZ	H	WINNIPEG INTL	PIERRE ELLIOTT TRUDEAU INTL 2			FL280	FL240				200313	CYWG	CYUL
CZ00266	CZ	H	WINNIPEG INTL	PIERRE ELLIOTT TRUDEAU INTL 3			FL600	FL290				200403	CYWG	CYUL
CZ00267	CZ	H	WINNIPEG INTL	EDMONTON INTL								200210	CYWG	CYEG
CZ00268	CZ	H	WINNIPEG INTL	MONTREAL INTL MIRABEL 1			FL230	FL180				200302	CYWG	CYMX
CZ00269	CZ	H	WINNIPEG INTL	MONTREAL INTL MIRABEL 2			FL280	FL240				200602	CYWG	CYMX
CZ00270	CZ	H	WINNIPEG INTL	MONTREAL INTL MIRABEL 3			FL500	FL290				200302	CYWG	CYMX
CZ00271	CZ	H	WINNIPEG INTL	OTTAWA MACDONALD CARTIER INTL 1			FL600	FL180				200304	CYWG	CYOW
CZ00272	CZ	H	WINNIPEG INTL	OTTAWA MACDONALD CARTIER INTL 2			FL230	FL190				200304	CYWG	CYOW
CZ00273	CZ	H	WINNIPEG INTL	OTTAWA MACDONALD CARTIER INTL 3			FL600	FL290				200305	CYWG	CYOW
CZ00274	CZ	H	WINNIPEG INTL	TORONTO LESTER B PEARSON INTL 1			FL230	FL180				200210	CYWG	CYYZ
CZ00275	CZ	H	WINNIPEG INTL	TORONTO LESTER B PEARSON INTL 2			FL280	FL240				200210	CYWG	CYYZ
CZ00276	CZ	L	HAMILTON	MUSKOKA			2800	2600				200204	CYHM	CYQA
CZ00277	CZ	L	HAMILTON	NORTH BAY			2800					200204	CYHM	CYYB
CZ00278	CZ	L	HAMILTON	OTTAWA MACDONALD CARTIER INTL			3100					200209	CYHM	CYOW
CZ00279	CZ	L	HAMILTON	PITTSBURG								200204	CYHM	
CZ00280	CZ	L	HAMILTON	MONTREAL/ST HUBERT			3100					200302	CYHM	CYHU
CZ00281	CZ	L	HAMILTON	SUDBURY			2800					200204	CYHM	CYSB
CZ00282	CZ	L	HAMILTON	TORONTO LESTER B PEARSON INTL			2800					200209	CYHM	CYYZ
CZ00283	CZ	L	HAMILTON	TORONTO/CITY CENTRE			3100					200204	CYHM	CYTZ
CZ00284	CZ	L	KAMLOOPS	VANCOUVER INTL								200209	CYKA	CYVR
CZ00285	CZ	L	KELOWNA	VANCOUVER INTL								200209	CYLW	CYVR
CZ00287	CZ	L	LONDON	BUFFALO								200204	CYXU	
CZ00288	CZ	L	LONDON	TORONTO/BUTTONVILLE MUNI			2600					200302	CYXU	CYKZ
CZ00289	CZ	L	LONDON	CLEVELAND								200204	CYXU	
CZ00290	CZ	L	LONDON	DETROIT CITY								200209	CYXU	KDET
CZ00291	CZ	L	LONDON	DETROIT METRO-WAYNE								200204	CYXU	
CZ00292	CZ	L	LONDON	DETROIT WILLOW RUN								200204	CYXU	
