PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE	STRT_ICAO	DEST_ICAO
KZ00460	KZ	L	CLEVELAND METRO AREA	BUFFALO			17000	6000				200503	KCLE	KBUF
KZ00461	KZ	L	CLEVELAND METRO AREA	CHICAGO MIDWAY			17000	6000	11000300			200503	KCLE	KMDW
KZ00462	KZ	L	CLEVELAND METRO AREA	CHICAGO OHARE INTL			17000	6000	11000300			200513	KCLE	KORD
KZ00463	KZ	L	CLEVELAND METRO AREA	COLUMBUS			17000	6000	11000300			200503	KCLE	KLCK
KZ00464	KZ	L	CLEVELAND METRO AREA	DAYTON			17000	6000	11000300			200503	KCLE	KDAY
KZ00465	KZ	L	CLEVELAND METRO AREA	DETROIT METRO-WAYNE CO			17000	6000	11000300			200503	KCLE	KDTW
KZ00466	KZ	L	CLEVELAND METRO AREA	DETROIT SATELLITES			17000	6000	11000300			200503	KCLE	KDTW
KZ00467	KZ	L	CLEVELAND METRO AREA	INDIANAPOLIS			17000	6000	11000300			200503	KCLE	KIND
KZ00468	KZ	L	CLEVELAND METRO AREA	PITTSBURGH			17000	6000	11000300			200503	KCLE	KPIT
KZ00469	KZ	L	CLEVELAND METRO AREA	ROCHESTER			17000	6000	11000300			200503	KCLE	KROC
KZ00470	KZ	L	CLEVELAND METRO AREA	WASHINGTON DULLES			17000	9000	11000300			200503	KCLE	KIAD
KZ00471	KZ	L	CLEVELAND METRO AREA	WASHINGTON DULLES			17000	9000	11000300			200503	KCLE	KIAD
KZ00472	KZ	L	CLEVELAND METRO AREA	WASHINGTON NATL			17000	9000	11000300			200503	KCLE	KDCA
KZ00473	KZ	L	COLUMBUS	CLEVELAND			17000	6000				200503	KLCK	KCLE
KZ00474	KZ	L	COLUMBUS	PITTSBURGH			17000	6000	11000300			200503	KLCK	KPIT
KZ00475	KZ	L	COLUMBUS	TOLEDO					11000300			200503	KLCK	KTOL
KZ00476	KZ	L	DALLAS/FORT WORTH AREA	ATLANTA					00002359			200601	KDFW	KATL
KZ00477	KZ	L	DALLAS/FORT WORTH AREA	CHICAGO MIDWAY					00002359			200413	KDFW	KMDW
KZ00478	KZ	L	DALLAS/FORT WORTH AREA	CHICAGO OHARE INTL					00002359			200513	KDFW	KORD
KZ00479	KZ	L	DALLAS/FORT WORTH AREA	HOUSTON HOBBY					00002359			200413	KDFW	KHOU
KZ00480	KZ	L	DALLAS/FORT WORTH AREA	MEMPHIS					12001400	18000000		200413	KDFW	KMEM
KZ00481	KZ	L	DALLAS/FORT WORTH AREA	NEW ORLEANS					00002359			200413	KDFW	KMSY
KZ00482	KZ	L	DALLAS/FORT WORTH AREA	SAN ANTONIO					00002359			200413	KDFW	KSAT
KZ00483	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	FORT LAUDERDALE								200412	KDTW	KFLL
KZ00484	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	GEORGE BUSH INCNTL/HOUSTON								200412	KDTW	KIAH
KZ00485	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	PITTSBURG INTL								200412	KDTW	KPIT
KZ00486	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	INDIANAPOLIS								200412	KDTW	KIND
KZ00487	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	KENNEDY								200412	KDTW	KJFK
KZ00488	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	LA GUARDIA								200412	KDTW	KLGA
KZ00489	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	LOS ANGELES					11000300			200412	KDTW	KLAX
KZ00490	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	MEMPHIS								200412	KDTW	KMEM
KZ00491	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	MIAMI								200412	KDTW	KMIA
KZ00492	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	MINNEAPLOIS								200412	KDTW	KMSP
KZ00493	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	MONTREAL INTL (DORVAL)					11000300			200512	KDTW	CYUL
KZ00494	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	NEWARK								200412	KDTW	KEWR
KZ00495	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	ORLANDO EXECUTIVE					11000300			200501	KDTW	KORL
KZ00496	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	ORLANDO INTL					11000300			200412	KDTW	KMCO
KZ00497	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	PHILADELPHIA								200412	KDTW	KPHL
KZ00498	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	ROCHESTER								200412	KDTW	KROC
KZ00499	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	ST LOUIS					12000100			200412	KDTW	KSTL
KZ00500	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	SAN FRANCISCO								200412	KDTW	KSFO
KZ00501	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	SARASOTA/BRADENTON								200412	KDTW	KSRQ
KZ00503	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	SOUTHWEST FLORIDA INTL					11000400			200412	KDTW	KRSW
KZ00504	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	SYRACUSE								200412	KDTW	KSYR
KZ00505	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	TAMPA								200412	KDTW	KTPA
KZ00506	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	TORONTO								200412	KDTW	CYTZ
KZ00507	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	WASHINGTON DULLES								200412	KDTW	KIAD
KZ00508	KZ	L	DAYTON	CHICAGO MIDWAY					11000300			200413	KDAY	KMDW
KZ00509	KZ	L	DAYTON	CHICAGO OHARE INTL					11000300			200513	KDAY	KORD
KZ00510	KZ	L	DAYTON	CLEVELAND					11000300			200413	KDAY	KCLE
KZ00511	KZ	L	DAYTON	DETROIT METRO-WAYNE CO					11000300			200413	KDAY	KDTW
KZ00512	KZ	L	DAYTON	DETROIT SATELLITES								200601	KDAY	KYIP
KZ00513	KZ	L	DAYTON	DETROIT SATELLITES								200601	KDAY	KYIP
KZ00514	KZ	L	DAYTON	WASHINGTON DULLES			17000	9000	11000300			200413	KDAY	KIAD
KZ00515	KZ	L	DAYTON	WASHINGTON DULLES			17000	9000	11000300			200413	KDAY	KIAD
KZ00516	KZ	L	DAYTON	WASHINGTON NATL			17000	9000	11000300			200413	KDAY	KDCA
KZ00517	KZ	L	DAYTONA BEACH	MIAMI METRO AREA			11000		13000300			200503	KDAB	KMIA
KZ00518	KZ	L	DES MOINES	MEMPHIS					00002359			200413	KDSM	KMEM
KZ00519	KZ	L	DETROIT METRO AREA	ALBANY			17000	6000	11000300			200503	KDTW	KALB
KZ00520	KZ	L	DETROIT METRO AREA	ATLANTIC CITY			17000	6000	11000300			200503	KDTW	KACY
KZ00521	KZ	L	DETROIT METRO AREA	BOSTON			17000	6000	11000300			200503	KDTW	KBOS
KZ00522	KZ	L	DETROIT METRO AREA	BUFFALO			17000	6000	11000300			200503	KDTW	KBUF
KZ00523	KZ	L	DETROIT METRO AREA	CHICAGO MIDWAY					11000300			200503	KDTW	KMDW
KZ00524	KZ	L	DETROIT METRO AREA	CHICAGO OHARE INTL			17000	6000	11000300			200513	KDTW	KORD
KZ00525	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	WASHINGTON NATL								200412	KDTW	KDCA
KZ00526	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	WESTCHESTER								200501	KDTW	KHPN
KZ00527	KZ	H	DETROIT METRO-WAYNE CO AND SATELLITES	WEST PALM BEACH					11000300			200412	KDTW	KPBI
KZ00528	KZ	H	FORT LAUDERDALE METRO AREA	ATLANTA					10000300			200503	KFLL	KATL
KZ00529	KZ	H	FORT LAUDERDALE METRO AREA	BALTIMORE			FL290		10000300			200503	KFLL	KBWI
KZ00530	KZ	H	FORT LAUDERDALE METRO AREA	BALTIMORE			FL600	FL330	10000300			200503	KFLL	KBWI
KZ00531	KZ	H	FORT LAUDERDALE METRO AREA	BALTIMORE	W				10000300			200511	KFLL	KBWI
KZ00532	KZ	H	FORT LAUDERDALE METRO AREA	BOSTON			FL290		10000300			200503	KFLL	KBOS
KZ00533	KZ	H	FORT LAUDERDALE METRO AREA	BOSTON			FL600	FL330	10000300			200503	KFLL	KBOS
KZ00534	KZ	H	FORT LAUDERDALE METRO AREA	BOSTON (WATER)					10000300			200503	KFLL	KBOS
KZ00535	KZ	H	FORT LAUDERDALE METRO AREA	CHARLOTTE			FL290		10000300			200503	KFLL	KCLT
KZ00536	KZ	H	FORT LAUDERDALE METRO AREA	CHARLOTTE			FL600	FL330	10000300			200503	KFLL	KCLT
KZ00537	KZ	H	FORT LAUDERDALE METRO AREA	CHICAGO MIDWAY					10000300			200503	KFLL	KMDW
KZ00538	KZ	H	FORT LAUDERDALE METRO AREA	CHICAGO OHARE INTL					10000300			200513	KFLL	KORD
KZ00539	KZ	H	FORT LAUDERDALE METRO AREA	CINCINNATI					10000300			200503	KFLL	KCVG
KZ00540	KZ	H	FORT LAUDERDALE METRO AREA	CLEVELAND					10000300			200503	KFLL	KCLE
KZ00541	KZ	H	FORT LAUDERDALE METRO AREA	COLUMBUS					10000300			200503	KFLL	KCMH
KZ00542	KZ	H	FORT LAUDERDALE METRO AREA	CROSS CITY					10300300			200503	KFLL	KCTY
KZ00543	KZ	H	FORT LAUDERDALE METRO AREA	CROSS CITY					10300300			200503	KFLL	KCTY
